PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,1997,40,1.10148,1.21686,179,X,157,205,X,29,570,192,46842
National,X,1997,41,1.20007,1.28064,199,X,151,242,X,23,615,191,48023
National,X,1997,42,1.37876,1.23906,228,X,153,266,X,34,681,219,54961
National,X,1997,43,1.1992,1.14473,188,X,193,236,X,36,653,213,57044
National,X,1997,44,1.65618,1.26112,217,X,162,280,X,41,700,213,55506
National,X,1997,45,1.41326,1.28275,178,X,148,281,X,48,655,195,51062
National,X,1997,46,1.9868,1.44579,294,X,240,328,X,70,932,248,64463
National,X,1997,47,2.44749,1.64796,288,X,293,456,X,63,1100,256,66749
National,X,1997,48,1.73901,1.67517,268,X,206,343,X,69,886,252,52890
National,X,1997,49,1.93919,1.61739,299,X,282,415,X,102,1098,253,67887
National,X,1997,50,2.28166,1.76632,346,X,268,388,X,81,1083,242,61314
National,X,1997,51,2.50761,2.10398,348,X,235,362,X,59,1004,190,47719
National,X,1997,52,4.11352,3.13655,510,X,404,492,X,113,1519,251,48429
National,X,1997,53,5.62372,3.7185,579,X,584,576,X,207,1946,250,52333
National,X,1998,1,4.37398,3.59225,639,X,759,810,X,207,2415,254,67228
National,X,1998,2,4.19434,3.68922,690,X,654,1121,X,148,2613,255,70828
National,X,1998,3,5.42123,4.60396,856,X,679,1440,X,151,3126,245,67898
National,X,1998,4,5.66137,4.91007,824,X,817,1600,X,196,3437,245,69999
National,X,1998,5,5.97802,4.82687,881,X,769,1471,X,233,3354,239,69486
National,X,1998,6,4.7358,3.9459,699,X,671,1101,X,146,2617,234,66322
National,X,1998,7,3.44581,3.1081,457,X,523,849,X,119,1948,223,62675
National,X,1998,8,2.47799,2.13953,313,X,330,534,X,112,1289,217,60247
National,X,1998,9,1.65732,1.43954,241,X,214,308,X,64,827,211,57449
National,X,1998,10,1.96952,1.47879,201,X,183,305,X,59,748,208,50582
National,X,1998,11,1.58545,1.08556,162,X,123,249,X,51,585,200,53889
National,X,1998,12,1.80474,0.997967,156,X,93,196,X,41,486,177,48699
National,X,1998,13,1.04624,0.744205,90,X,92,144,X,32,358,182,48105
National,X,1998,14,1.4004,0.856631,82,X,93,152,X,41,368,170,42959
National,X,1998,15,0.79687,0.621737,64,X,73,106,X,19,262,156,42140
National,X,1998,16,0.717097,0.670954,82,X,68,100,X,15,265,155,39496
National,X,1998,17,1.00238,0.694082,58,X,61,120,X,27,266,148,38324
National,X,1998,18,0.908403,0.583457,39,X,64,93,X,13,209,136,35821
National,X,1998,19,0.443014,0.57764,79,X,37,61,X,9,186,131,32200
National,X,1998,20,0.638986,0.605216,54,X,40,52,X,19,165,120,27263
National,X,1998,21,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,22,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,23,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,24,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,25,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,26,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,27,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,28,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,29,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,30,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,31,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,32,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,33,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,34,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,35,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,36,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,37,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,38,0,0,0,0,0,0,0,0,0,0,0
National,X,1998,39,0,0,0,0,0,0,0,0,0,0,0
