"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
National,X,2007,40,2382,1.84719,0,17,2,20,0,5,0
National,X,2007,41,2534,1.73639,0,19,3,22,0,0,0
National,X,2007,42,2953,1.62547,0,16,2,28,0,2,0
National,X,2007,43,3179,1.57282,0,16,2,27,0,5,0
National,X,2007,44,3575,2.06993,0,10,0,53,0,11,0
National,X,2007,45,3797,2.23861,0,17,10,47,0,11,0
National,X,2007,46,4131,2.10603,0,24,6,55,0,2,0
National,X,2007,47,4040,3.46535,0,35,2,90,0,13,0
National,X,2007,48,4855,3.31617,0,49,12,86,0,14,0
National,X,2007,49,4909,3.66673,0,35,10,113,0,22,0
National,X,2007,50,5157,4.16909,0,50,22,117,0,26,0
National,X,2007,51,5877,5.34286,0,68,28,167,0,51,0
National,X,2007,52,6269,7.14628,0,77,26,259,0,86,0
National,X,2008,1,6829,8.55176,0,98,61,318,0,107,0
National,X,2008,2,7383,13.5853,0,166,145,529,0,163,0
National,X,2008,3,7814,16.8032,0,196,205,703,0,209,0
National,X,2008,4,9474,22.7148,0,210,385,1215,0,342,0
National,X,2008,5,13459,28.4642,0,243,627,2301,0,660,0
National,X,2008,6,15342,31.7494,0,265,841,2835,0,930,0
National,X,2008,7,15171,31.8173,0,202,837,2703,0,1085,0
National,X,2008,8,17359,30.3992,0,189,975,2730,0,1383,0
National,X,2008,9,16097,27.6511,0,121,823,2095,0,1412,0
National,X,2008,10,15181,23.6809,0,73,630,1505,0,1387,0
National,X,2008,11,11648,22.0124,0,69,484,916,0,1095,0
National,X,2008,12,9498,20.3938,0,43,395,596,0,903,0
National,X,2008,13,7800,17.7821,0,13,178,419,0,777,0
National,X,2008,14,6183,14.5399,0,12,110,266,0,511,0
National,X,2008,15,5285,11.7692,0,6,56,144,0,416,0
National,X,2008,16,4103,8.50597,0,0,32,83,0,234,0
National,X,2008,17,3556,5.3712,0,5,11,44,0,131,0
National,X,2008,18,2724,4.62555,0,1,9,37,0,79,0
National,X,2008,19,2539,2.56006,0,0,10,12,0,43,0
National,X,2008,20,2414,1.57415,0,0,4,14,0,20,0
National,X,2008,21,2115,1.37116,0,1,4,9,0,15,0
National,X,2008,22,1927,0.985989,0,0,2,7,0,10,0
National,X,2008,23,1850,0.918919,0,0,1,11,0,5,0
National,X,2008,24,1502,0.798935,0,0,0,5,0,7,0
National,X,2008,25,1467,0.477164,0,0,2,3,0,2,0
National,X,2008,26,1325,0.45283,0,0,0,0,0,6,0
National,X,2008,27,1203,0.332502,0,0,0,1,0,3,0
National,X,2008,28,1269,0.472813,0,1,1,0,0,4,0
National,X,2008,29,1203,0.332502,0,0,0,2,0,2,0
National,X,2008,30,1163,0.859845,0,1,5,4,0,0,0
National,X,2008,31,1125,0.622222,0,0,1,2,0,4,0
National,X,2008,32,1102,0.635209,0,1,0,5,0,1,0
National,X,2008,33,1053,0.0949668,0,0,0,0,0,1,0
National,X,2008,34,1090,0.550459,0,1,1,1,0,3,0
National,X,2008,35,1271,0.393391,0,0,0,2,0,3,0
National,X,2008,36,1336,0.449102,0,1,0,5,0,0,0
National,X,2008,37,1562,0.704225,0,0,2,7,0,2,0
National,X,2008,38,1886,1.06045,0,3,3,11,0,3,0
National,X,2008,39,2009,0.597312,0,2,0,8,0,2,0
