"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
HHS Regions,Region 5,2010,40,338,0.295858,0,0,1,0,0,0,0
HHS Regions,Region 9,2010,40,311,5.14469,5,0,9,1,0,1,0
HHS Regions,Region 5,2010,41,356,2.24719,1,0,7,0,0,0,0
HHS Regions,Region 9,2010,41,431,5.10441,5,0,6,4,0,7,0
HHS Regions,Region 5,2010,42,334,0.898204,1,0,2,0,0,0,0
HHS Regions,Region 9,2010,42,450,5.11111,5,0,9,3,0,6,0
HHS Regions,Region 5,2010,43,396,1.76768,0,0,7,0,0,0,0
HHS Regions,Region 9,2010,43,348,6.03448,6,0,9,2,0,4,0
HHS Regions,Region 5,2010,44,403,1.48883,0,0,5,1,0,0,0
HHS Regions,Region 9,2010,44,482,3.73444,4,0,5,1,0,8,0
HHS Regions,Region 5,2010,45,423,2.83688,1,0,9,1,0,1,0
HHS Regions,Region 9,2010,45,483,2.89855,0,0,5,2,0,7,0
HHS Regions,Region 5,2010,46,406,5.41872,4,0,18,0,0,0,0
HHS Regions,Region 9,2010,46,556,4.4964,1,0,6,1,0,17,0
HHS Regions,Region 5,2010,47,382,6.80628,0,0,25,1,0,0,0
HHS Regions,Region 9,2010,47,460,6.30435,0,0,13,3,0,13,0
HHS Regions,Region 5,2010,48,426,6.57277,3,0,20,0,0,5,0
HHS Regions,Region 9,2010,48,563,9.23623,5,0,15,2,0,30,0
HHS Regions,Region 5,2010,49,485,9.07216,3,0,35,1,0,5,0
HHS Regions,Region 9,2010,49,667,16.3418,2,0,58,3,0,46,0
HHS Regions,Region 5,2010,50,455,12.3077,12,0,35,3,0,6,0
HHS Regions,Region 9,2010,50,774,18.6047,11,0,78,3,0,52,0
HHS Regions,Region 5,2010,51,507,22.0907,24,0,67,7,0,14,0
HHS Regions,Region 9,2010,51,782,24.0409,15,0,101,9,0,63,0
HHS Regions,Region 5,2010,52,644,30.2795,44,0,100,10,0,41,0
HHS Regions,Region 9,2010,52,719,32.128,17,0,116,16,0,82,0
HHS Regions,Region 5,2011,1,798,31.0777,77,0,115,8,0,48,0
HHS Regions,Region 9,2011,1,933,26.2594,29,0,137,20,0,59,0
HHS Regions,Region 5,2011,2,891,37.037,120,0,124,26,0,60,0
HHS Regions,Region 9,2011,2,1006,33.3996,40,0,193,20,0,83,0
HHS Regions,Region 5,2011,3,1004,40.5378,145,0,139,51,0,72,0
HHS Regions,Region 9,2011,3,952,38.4454,90,0,172,28,0,76,0
HHS Regions,Region 5,2011,4,1121,42.2837,185,0,123,52,0,114,0
HHS Regions,Region 9,2011,4,1121,35.5932,93,0,179,34,0,93,0
HHS Regions,Region 5,2011,5,1203,38.6534,141,0,119,87,0,118,0
