YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2009,35,974,0,6,7,144,56,0,0,21.8686
2009,36,1204,0,1,2,172,47,0,0,18.4385
2009,37,1592,0,1,0,189,61,0,0,15.7663
2009,38,1441,2,2,0,240,77,2,0,22.415
2009,39,1544,3,3,1,291,83,1,0,24.7409
2009,40,2486,0,4,0,693,150,1,0,34.111
2009,41,3459,0,0,0,1435,218,2,0,47.8462
2009,42,4489,1,6,2,1763,513,7,0,51.0581
2009,43,4079,1,17,1,1457,453,0,0,47.291
2009,44,3295,0,2,0,987,264,2,0,38.088
2009,45,2945,0,2,0,721,176,2,0,30.5942
2009,46,2343,0,0,0,490,91,0,0,24.7973
2009,47,1726,0,1,1,261,38,0,0,17.4392
2009,48,1445,0,0,0,131,27,15,0,11.9723
2009,49,1237,0,1,1,68,21,12,0,8.3266
2009,50,1104,0,0,0,50,8,0,0,5.25362
2009,51,872,0,0,0,17,5,0,0,2.52294
2009,52,907,0,0,1,22,0,0,0,2.53583
2010,1,879,0,0,0,13,0,0,0,1.47895
2010,2,786,1,0,1,17,5,0,0,3.05344
2010,3,781,0,0,1,7,3,1,0,1.53649
2010,4,757,0,0,0,9,3,1,0,1.71731
2010,5,810,0,0,0,10,1,0,0,1.35802
2010,6,799,0,0,0,8,1,0,0,1.12641
2010,7,706,0,0,0,11,2,3,0,2.26629
2010,8,699,0,0,0,13,1,0,0,2.00286
2010,9,602,0,0,0,22,1,0,0,3.8206
2010,10,636,0,0,0,11,0,0,0,1.72956
2010,11,553,0,0,0,12,2,0,0,2.53165
2010,12,417,0,0,0,7,1,0,0,1.91847
2010,13,407,0,0,0,12,0,0,0,2.9484
2010,14,361,0,0,0,13,1,0,0,3.87812
2010,15,329,0,0,0,2,0,0,0,0.607903
2010,16,308,0,0,0,0,0,1,0,0.324675
2010,17,281,0,0,0,2,0,0,0,0.711744
2010,18,245,0,0,0,0,1,0,0,0.408163
2010,19,213,0,0,1,0,2,0,0,1.40845
2010,20,234,0,1,0,2,1,0,0,1.7094
2010,21,216,0,0,0,0,0,0,0,0
2010,22,140,0,0,0,0,0,0,0,0
2010,23,147,0,0,0,0,1,0,0,0.680272
2010,24,168,0,0,0,0,0,0,0,0
2010,25,163,0,0,0,0,0,0,0,0
2010,26,121,0,0,0,0,0,0,0,0
2010,27,138,0,0,2,0,0,0,0,1.44928
2010,28,110,0,0,3,0,0,0,0,2.72727
2010,29,126,0,0,1,0,0,2,0,2.38095
2010,30,139,0,0,6,1,4,0,0,7.91367
2010,31,111,0,0,0,0,0,0,0,0
2010,32,131,0,0,0,1,0,0,0,0.763359
2010,33,129,0,0,1,0,0,0,0,0.775194
2010,34,143,0,0,0,1,0,1,0,1.3986
2010,35,171,0,0,3,1,1,0,0,2.92398
2010,36,181,0,0,2,1,0,0,0,1.65746
2010,37,229,0,0,1,0,0,2,0,1.31004
2010,38,243,0,0,2,0,0,3,0,2.05761
2010,39,236,0,0,1,1,0,1,0,1.27119
