YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2007,40,519,1,0,0,0,12,2,0,2.89017
2007,41,529,0,0,2,0,8,0,0,1.89036
2007,42,612,1,0,0,0,16,1,0,2.94118
2007,43,656,0,0,0,0,15,2,0,2.59146
2007,44,746,1,0,0,0,24,5,0,4.02145
2007,45,578,0,0,2,0,10,3,0,2.59516
2007,46,667,1,0,1,0,15,0,0,2.54873
2007,47,617,0,0,0,0,18,5,0,3.72771
2007,48,636,0,0,3,0,17,2,0,3.45912
2007,49,806,0,0,0,0,17,6,0,2.8536
2007,50,693,1,0,1,0,1,4,0,1.0101
2007,51,910,8,0,3,0,0,11,0,2.41758
2007,52,1037,3,0,0,0,45,17,0,6.26808
2008,1,1230,8,0,5,0,41,18,0,5.85366
2008,2,1164,4,0,13,0,66,18,0,8.67698
2008,3,1291,17,0,32,0,97,18,0,12.7033
2008,4,1545,29,0,46,0,183,43,0,19.4822
2008,5,3253,33,0,133,0,615,83,0,26.5601
2008,6,3726,66,0,293,0,756,120,0,33.1455
2008,7,3884,46,0,271,0,840,169,0,34.1401
2008,8,4302,56,0,354,0,791,260,0,33.9609
2008,9,3498,33,0,239,0,569,236,0,30.789
2008,10,3079,16,0,194,0,383,204,0,25.885
2008,11,1975,6,0,75,0,179,156,0,21.0633
2008,12,1952,21,0,119,0,124,119,0,19.6209
2008,13,1205,2,0,32,0,54,127,0,17.8423
2008,14,959,1,0,1,0,50,74,0,13.1387
2008,15,864,0,0,4,0,28,43,0,8.68056
2008,16,772,0,0,3,0,32,36,0,9.19689
2008,17,634,0,0,0,0,18,18,0,5.67823
2008,18,583,1,0,1,0,21,17,0,6.86106
2008,19,433,0,0,0,0,2,4,0,1.38568
2008,20,442,0,0,1,0,6,4,0,2.48869
2008,21,398,0,0,0,0,4,2,0,1.50754
2008,22,373,0,0,0,0,5,1,0,1.60858
2008,23,338,0,0,0,0,7,1,0,2.36686
2008,24,196,0,0,0,0,5,2,0,3.57143
2008,25,233,0,0,0,0,3,1,0,1.71674
2008,26,206,0,0,0,0,0,0,0,0
2008,27,211,0,0,0,0,1,1,0,0.947867
2008,28,207,0,0,0,0,0,1,0,0.483092
2008,29,233,0,0,0,0,1,1,0,0.858369
2008,30,245,0,0,0,0,1,0,0,0.408163
2008,31,225,0,0,0,0,2,2,0,1.77778
2008,32,212,1,0,0,0,2,0,0,1.41509
2008,33,197,0,0,0,0,0,0,0,0
2008,34,181,0,0,0,0,0,0,0,0
2008,35,251,0,0,0,0,2,1,0,1.19522
2008,36,311,1,0,0,0,4,0,0,1.60772
2008,37,389,0,0,0,0,5,0,0,1.28535
2008,38,455,0,0,0,0,6,0,0,1.31868
2008,39,463,0,0,0,0,4,2,0,1.2959
