item,geo,beds,state,label
http://www.wikidata.org/entity/Q1742129,Point(-73.945 40.6566),627,http://www.wikidata.org/entity/Q18419,Kings County Hospital Center
http://www.wikidata.org/entity/Q1273145,Point(-75.1558 39.9445),515,http://www.wikidata.org/entity/Q1345,Pennsylvania Hospital
http://www.wikidata.org/entity/Q1072787,Point(-118.291 34.0975),286,http://www.wikidata.org/entity/Q65,Children's Hospital Los Angeles
http://www.wikidata.org/entity/Q41471,Point(-122.465 38.2882),75,http://www.wikidata.org/entity/Q99,Sonoma Valley Hospital
http://www.wikidata.org/entity/Q126412,Point(-71.068630555 42.362805555),1034,http://www.wikidata.org/entity/Q100,Massachusetts General Hospital
http://www.wikidata.org/entity/Q450401,Point(-117.889 33.7878),411,http://www.wikidata.org/entity/Q49219,UC Irvine Medical Center
http://www.wikidata.org/entity/Q1441868,Point(-118.218 34.0492),354,http://www.wikidata.org/entity/Q99,White Memorial Medical Center
http://www.wikidata.org/entity/Q1472068,Point(-76.5924 39.2974),1059,http://www.wikidata.org/entity/Q5092,Johns Hopkins Hospital
http://www.wikidata.org/entity/Q1476505,Point(-73.9532 40.7901),1141,http://www.wikidata.org/entity/Q11299,Mount Sinai Hospital
http://www.wikidata.org/entity/Q1525831,Point(-95.3975 29.7078),507,http://www.wikidata.org/entity/Q16555,University of Texas MD Anderson Cancer Center
http://www.wikidata.org/entity/Q1535116,Point(-87.6693 41.8747),664,http://www.wikidata.org/entity/Q1204,Rush University Medical Center
http://www.wikidata.org/entity/Q975653,Point(-73.9427 40.8413),2478,http://www.wikidata.org/entity/Q11299,NewYork–Presbyterian Hospital
http://www.wikidata.org/entity/Q1000479,Point(-71.106 42.3373),395,http://www.wikidata.org/entity/Q771,Boston Children's Hospital
http://www.wikidata.org/entity/Q1052562,Point(-118.380676 34.075198),886,http://www.wikidata.org/entity/Q16254518,Cedars-Sinai Medical Center
http://www.wikidata.org/entity/Q1052562,Point(-118.380676 34.075198),900,http://www.wikidata.org/entity/Q16254518,Cedars-Sinai Medical Center
http://www.wikidata.org/entity/Q1052562,Point(-118.380676 34.075198),958,http://www.wikidata.org/entity/Q16254518,Cedars-Sinai Medical Center
