,Hospital Name,Beds,City,State
0,Northside Behavioral Health Center,0,Tampa,FL
1,Adventist Health Saint Helena Center for Behavioral Health,61,Vallejo,CA
2,Adventist Health Simi Valley,144,Simi Valley,CA
3,Adventist Ukiah Valley,50,Ukiah,CA
4,Ascension Columbia Saint Mary's Hospital Ozaukee,120,Mequon,WI
5,Ascension Columbia Saint Mary's Women's Hospital,0,Milwaukee,WI
6,Ascension Our Lady of Victory Hospital,24,Stanley,WI
7,Ascension Saint John Hospital,612,Detroit,MI
8,Ascension Saint Michael's Hospital,84,Stevens Point,WI
9,Avera Dakota Plains Surgery Center,15,Aberdeen,SD
10,Baylor Scott & White Medical Center Plano,118,Plano,TX
11,Baylor Scott & White Medical Center Grapevine,289,Grapevine,TX
12,Baylor Scott & White Medical Center Temple,634,Temple,TX
13,Brockton Hospital,197,Brockton,MA
14,California Department of State Hospitals - Coalinga,0,Coalinga,CA
15,California Department of State Hospitals - Napa,49,Napa,CA
16,California Department of State Hospitals Salinas Valley Hospital,0,Soledad,CA
17,Carle Richland Memorial Hospital,81,Olney,IL
18,Chester County Hospital,244,West Chester,PA
19,CHI Memorial Hospital Chattanooga,423,Chattanooga,TN
20,CHI Saint Anthony Hospital,25,Pendleton,OR
21,CHI Saint Joseph Health Continuing Care Hospital,23,Lexington,KY
22,CHI St. Joseph Health Bellville Hospital,32,Bellville,TX
23,CHRISTUS Good Shepherd Medical Center - Marshall,361,Marshall,TX
24,CHRISTUS Good Shepherd Medical Center Longview,351,Longview,TX
25,Cuero Regional Hospital,44,Cuero,TX
26,Daniel Drake Center,211,Cincinnati,OH
27,Downey Medical Center,352,Downey,CA
28,Emory Hillandale Hospital,90,Lithonia,GA
29,Encompass Health Rehabilitation Hospital of Miami,60,Miami,FL
30,Encompass Health Rehabilitation Hospital of Ocala,60,Ocala,FL
31,Encompass Health Rehabilitation Hospital of Round Rock,75,Round Rock,TX
32,Encompass Health Rehabilitation Hospital of Sarasota,96,Sarasota,FL
33,Erlanger Western Carolina Hospital,25,Murphy,NC
34,Evans United States Army Hospital,0,Fort Carson,CO
35,Floyd Cherokee Medical Center,45,Centre,AL
36,"Genesis Medical Center, East Rusholme Street",329,Davenport,IA
37,HCA Houston Healthcare Kingwood,521,Kingwood,TX
38,HCA Houston Healthcare Medical Center,133,Houston,TX
39,Hospital General Menonita de Aibonito,150,Aibonito,PR
40,INTEGRIS Miami Hospital,114,Miami,OK
41,Izard County Medical Center,25,Calico Rock,AR
42,LifeCare Hospitals of Pittsburgh at Main Campus,49,Pittsburgh,PA
43,Long Island Community Hospital,235,Patchogue,NY
44,M Health Fairview Lakes Medical Center,55,Wyoming,MN
45,MarinHealth Medical Center,235,Greenbrae,CA
46,Medical City North Hills,157,North Richland Hills,TX
47,Mercy Health - Anderson Hospital,282,Cincinnati,OH
48,Mercyhealth Hospital and Medical Center-Harvard,28,Harvard,IL
49,Munson Healthcare Manistee Hospital,45,Manistee,MI
50,MUSC Institute of Psychiatry,0,Charleston,SC
51,Northwest Health Physicians' Specialty Hospital,20,Fayetteville,AR
52,Northwestern Medicine Kishwaukee Hospital,98,DeKalb,IL
53,Palisades Medical Center,202,North Bergen,NJ
54,Pappas Rehabilitation Hospital for Children,0,Canton,MA
55,Providence Holy Family Hospital,184,Spokane,WA
56,Providence Saint John's Health Center,266,Santa Monica,CA
57,Providence Saint Joseph Medical Center,22,Polson,MT
58,Reading Hospital,724,West Reading,PA
59,Rehabilitation Hospital of Bristol,25,Bristol,VA
60,RMC Stringfellow Memorial Hospital,125,Anniston,AL
61,Rocky Mountain Regional VA Medical Center,0,Aurora,CO
62,Santa Fe Indian Hospital,4,Santa Fe,NM
63,Spectrum Health Zeeland Community Hospital,55,Zeeland,MI
64,St. Joseph's Healthcare and Rehab Center,0,Cedar Grove,NJ
65,Texas Health Presbyterian Hospital of Rockwall,53,Rockwall,TX
66,The University of Texas Medical Branch Health Angleton Danbury Campus,62,Angleton,TX
67,Unity Health - Harris Medical Center,121,Newport,AR
68,University of Kansas Health System Saint Francis Campus,264,Topeka,KS
69,University of Missouri Women's and Children's Hospital,98,Columbia,MO
70,UPMC Cole,69,Coudersport,PA
71,UPMC Hamot,421,Erie,PA
72,UPMC Lititz,55,Lititz,PA
73,UPMC Magee-Womens Hospital,335,Pittsburgh,PA
74,UT Health East Texas Rehabilitation Hospital,49,Tyler,TX
75,VA Pittsburgh Healthcare System - H.J. Heinz Campus,0,Pittsburgh,PA
76,VCU Community Memorial Hospital,206,South Hill,VA
77,West Tennessee Healthcare Rehabilitation Hospital Jackson,48,Jackson,TN
78,Woodland Hills Medical Center,252,Woodland Hills,CA
79,Zucker Hillside Hospital,0,Glen Oaks,NY
80,375th Medical Group - Scott Air Force Base Medical Center,0,Scott Air Force Base,IL
81,60th Medical Group - David Grant USAF Medical Center,0,Travis Air Force Base,CA
82,633d Medical Group -Langley Air Force Base,0,Hampton,VA
83,81st Medical Group - Keesler Medical Center,0,Keesler Air Force Base,MS
84,88th Medical Group - Wright-Patterson Air Force Base Medical Center,0,Wright-Patterson AirForce Base,OH
85,96th Medical Group - United States Air Force Eglin Regional Hospital,0,Eglin Air Force Base,FL
86,A.O. Fox Hospital,191,Oneonta,NY
87,Abbeville Area Medical Center,25,Abbeville,SC
88,Abbeville General Hospital,60,Abbeville,LA
89,Abbott Northwestern Hospital,686,Minneapolis,MN
90,Abilene Regional Medical Center,196,Abilene,TX
91,Abington - Lansdale Hospital,140,Lansdale,PA
